Department,Officers
Alhambra,84
Arcadia,66
Azusa,57
Baldwin Park,65
Bell,33
Bell Gardens,50
Beverly Hills,117
Burbank,154
Claremont,37
Covina,59
Culver City,100
Downey,106
El Monte,108
El Segundo,56
Gardena,95
Glendale,232
Glendora,51
Hawthorne,88
Hermosa Beach,34
Huntington Park,51
Inglewood,175
Irwindale,28
La Verne,40
Long Beach,202
Los Angeles,394
Manhattan Beach,66
Monrovia,51
Montebello,66
Monterey Park,69
Palos Verdes Estates,29
Pasadena,234
Pomona,154
Redondo Beach,92
San Fernando,27
San Gabriel,49
San Marino,25
Santa Monica,204
Sierra Madre,15
Signal Hill,34
South Gate,79
South Pasadena,35
Torrance,208
Vernon,39
West Covina,93
Whittier,120
Pacoima,394
Van Nuys,394
Reseda,394
Wilmington,394
Mission Hills,394
North Hollywood,394
Northridge,394